District,Combination_1_Crop_1,Combination_1_Crop_2,Combination_2_Crop_1,Combination_2_Crop_2
Panna,SUGARCANE,CHICKPEA,WHEAT,PIGEONPEA
Parbhani,SUGARCANE,MAIZE,GROUNDNUT,SORGHUM
Patiala,SUGARCANE,BARLEY,WHEAT,RICE
Patna,SUGARCANE,MAIZE,WHEAT,RICE
Phulbani ( Kandhamal ),SUGARCANE,RICE,WHEAT,GROUNDNUT
Pilibhit,SUGARCANE,PIGEONPEA,WHEAT,RICE
Pithorgarh,WHEAT,MAIZE,RICE,RAGI
Pratapgarh,SUGARCANE,PIGEONPEA,WHEAT,RICE
Pune,SUGARCANE,WHEAT,MAIZE,RICE
Puri,SUGARCANE,WHEAT,RICE,GROUNDNUT
Purnea,SUGARCANE,WHEAT,MAIZE,RICE
Purulia,SUGARCANE,MAIZE,RICE,WHEAT
Rae-Bareily,SUGARCANE,BARLEY,WHEAT,RICE
Raichur,SUGARCANE,GROUNDNUT,RICE,MAIZE
Raigad,RICE,PIGEONPEA,GROUNDNUT,SESAMUM
Raigarh,SUGARCANE,MAIZE,RICE,PIGEONPEA
Raipur,RICE,MAIZE,SUGARCANE,GROUNDNUT
Raisen,WHEAT,MAIZE,SUGARCANE,SORGHUM
Rajgarh,SUGARCANE,BARLEY,WHEAT,CHICKPEA
Rajkot,SUGARCANE,MUSTARD,WHEAT,GROUNDNUT
Ramananthapuram,SUGARCANE,RAGI,RICE,MAIZE
Rampur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Ranchi,SUGARCANE,MAIZE,BARLEY,RICE
Ratlam,SUGARCANE,MAIZE,WHEAT,BARLEY
Ratnagiri,SUGARCANE,RAGI,RICE,GROUNDNUT
Rewa,SUGARCANE,PIGEONPEA,WHEAT,CHICKPEA
Rohtak,SUGARCANE,BARLEY,WHEAT,RICE
Roopnagar / Ropar,SUGARCANE,MAIZE,WHEAT,RICE
S.P.S. Nellore,SUGARCANE,GROUNDNUT,MAIZE,RICE
Sabarkantha,SUGARCANE,MAIZE,WHEAT,RICE
Sagar,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Saharanpur,SUGARCANE,BARLEY,WHEAT,RICE
Saharsa,SUGARCANE,RICE,MAIZE,WHEAT
Salem,SUGARCANE,GROUNDNUT,RICE,MAIZE
Sambalpur,SUGARCANE,GROUNDNUT,RICE,WHEAT
Sangli,SUGARCANE,WHEAT,RICE,MAIZE
Sangrur,SUGARCANE,BARLEY,WHEAT,RICE
Santhal Paragana / Dumka,SUGARCANE,WHEAT,RICE,PIGEONPEA
Saran,SUGARCANE,RICE,WHEAT,MAIZE
Satara,SUGARCANE,GROUNDNUT,RICE,MAIZE
Satna,SUGARCANE,MAIZE,WHEAT,BARLEY
Sehore,SUGARCANE,SORGHUM,WHEAT,GROUNDNUT
Seoni / Shivani,SUGARCANE,GROUNDNUT,PIGEONPEA,RICE
Shahabad (now part of Bhojpur district),SUGARCANE,PIGEONPEA,RICE,WHEAT
Shahdol,SUGARCANE,PIGEONPEA,RICE,GROUNDNUT
Shahjahanpur,SUGARCANE,BARLEY,WHEAT,RICE
Shajapur,SUGARCANE,BARLEY,WHEAT,MAIZE
Shimla,MAIZE,BARLEY,WHEAT,RICE
Shimoge,SUGARCANE,SORGHUM,MAIZE,RICE
Shivpuri,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Sibsagar,SUGARCANE,WHEAT,RICE,SESAMUM
Sidhi,MAIZE,BARLEY,WHEAT,PIGEONPEA
Sikar,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Sirmaur,MAIZE,RICE,SUGARCANE,WHEAT
Sirohi,WHEAT,MUSTARD,BARLEY,GROUNDNUT
Sitapur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Solan,MAIZE,WHEAT,RICE,GROUNDNUT
Solapur,SUGARCANE,WHEAT,MAIZE,GROUNDNUT
South Arcot / Cuddalore,SUGARCANE,RAGI,RICE,GROUNDNUT
Srikakulam,SUGARCANE,GROUNDNUT,MAIZE,RICE
Sultanpur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Sundargarh,SUGARCANE,RICE,WHEAT,GROUNDNUT
Surat,SUGARCANE,GROUNDNUT,WHEAT,RICE
Surendranagar,SUGARCANE,GROUNDNUT,WHEAT,RICE
Surguja,SUGARCANE,MAIZE,RICE,GROUNDNUT
Swami Madhopur,SUGARCANE,CHICKPEA,WHEAT,BARLEY
Tehri Garhwal,PIGEONPEA,SESAMUM,RICE,MUSTARD
Thane,RICE,SESAMUM,SUGARCANE,GROUNDNUT
Thanjavur,SUGARCANE,GROUNDNUT,RICE,MAIZE
The Nilgiris,SUGARCANE,RAGI,RICE,GROUNDNUT
Thirunelveli,SUGARCANE,GROUNDNUT,RICE,RAGI
Thiruvananthapuram,RICE,PIGEONPEA,SESAMUM,GROUNDNUT
Thrissur,RICE,RAGI,SESAMUM,PIGEONPEA
Tikamgarh,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Tiruchirapalli / Trichy,SUGARCANE,GROUNDNUT,RICE,MAIZE
Tonk,SUGARCANE,MUSTARD,WHEAT,BARLEY
Tumkur,SUGARCANE,RAGI,MAIZE,RICE
Udaipur,SUGARCANE,MAIZE,WHEAT,BARLEY
Ujjain,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Unnao,SUGARCANE,PIGEONPEA,WHEAT,RICE
Uttar Kashi,RICE,RAGI,PIGEONPEA,MUSTARD
Uttara Kannada,SUGARCANE,GROUNDNUT,MAIZE,RICE
Vadodara / Baroda,SUGARCANE,GROUNDNUT,WHEAT,MAIZE
Valsad,SUGARCANE,GROUNDNUT,WHEAT,RICE
Varanasi,SUGARCANE,PIGEONPEA,WHEAT,RICE
Vidisha,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Visakhapatnam,SUGARCANE,GROUNDNUT,MAIZE,RICE
Warangal,RICE,SUGARCANE,MAIZE,GROUNDNUT
Wardha,SUGARCANE,WHEAT,PIGEONPEA,GROUNDNUT
West Dinajpur,SUGARCANE,WHEAT,RICE,MAIZE
West Godavari,SUGARCANE,GROUNDNUT,RICE,MAIZE
Yeotmal,SUGARCANE,SORGHUM,PIGEONPEA,MAIZE
